"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people under 18 between 2013-2017."
"36003951200, NY","36003951200","=""36003951200""","24.47"
"36065026700, NY","36065026700","=""36065026700""","24.13"
"36023971200, NY","36023971200","=""36023971200""","24.16"
"36101961000, NY","36101961000","=""36101961000""","21.37"
"36025970600, NY","36025970600","=""36025970600""","26.84"
"36123150100, NY","36123150100","=""36123150100""","22.86"
"36025971200, NY","36025971200","=""36025971200""","11.84"
"36117021700, NY","36117021700","=""36117021700""","28.24"
"36077590300, NY","36077590300","=""36077590300""","17.35"
"36009960600, NY","36009960600","=""36009960600""","23.76"
"36057072800, NY","36057072800","=""36057072800""","18.77"
"36111955300, NY","36111955300","=""36111955300""","9.91"
"36065024303, NY","36065024303","=""36065024303""","19.78"
"36025970100, NY","36025970100","=""36025970100""","15.21"
"36115082002, NY","36115082002","=""36115082002""","17.83"
"36107020200, NY","36107020200","=""36107020200""","26.24"
"36097950300, NY","36097950300","=""36097950300""","23.92"
"36105950200, NY","36105950200","=""36105950200""","23.05"
"36077591500, NY","36077591500","=""36077591500""","17.81"
"36107020600, NY","36107020600","=""36107020600""","21.06"
"36045060500, NY","36045060500","=""36045060500""","25.77"
"36025971000, NY","36025971000","=""36025971000""","15.45"
"36031961200, NY","36031961200","=""36031961200""","20.75"
"36101962100, NY","36101962100","=""36101962100""","27.28"
"36007012500, NY","36007012500","=""36007012500""","24.68"
"36057072700, NY","36057072700","=""36057072700""","26.33"
"36015011000, NY","36015011000","=""36015011000""","18.95"
"36053030700, NY","36053030700","=""36053030700""","17.05"
"36039080300, NY","36039080300","=""36039080300""","10.85"
"36113075000, NY","36113075000","=""36113075000""","19.32"
"36003950300, NY","36003950300","=""36003950300""","22.19"
"36007012400, NY","36007012400","=""36007012400""","18.56"
"36039080401, NY","36039080401","=""36039080401""","14.04"
"36013036800, NY","36013036800","=""36013036800""","21.42"
"36051031100, NY","36051031100","=""36051031100""","18.06"
"36077590600, NY","36077590600","=""36077590600""","21.42"
"36113078000, NY","36113078000","=""36113078000""","8.68"
"36077591400, NY","36077591400","=""36077591400""","16.63"
"36025971100, NY","36025971100","=""36025971100""","13.94"
"36105951700, NY","36105951700","=""36105951700""","15.87"
"36013036600, NY","36013036600","=""36013036600""","21.17"
"36037950300, NY","36037950300","=""36037950300""","19.84"
"36031961100, NY","36031961100","=""36031961100""","17.61"
"36045060400, NY","36045060400","=""36045060400""","24.49"
"36043010900, NY","36043010900","=""36043010900""","22.13"
"36015010100, NY","36015010100","=""36015010100""","22.44"
"36105950100, NY","36105950100","=""36105950100""","26.56"
"36033951100, NY","36033951100","=""36033951100""","20.35"
"36011040100, NY","36011040100","=""36011040100""","21.92"
"36115082001, NY","36115082001","=""36115082001""","20.81"
"36037951400, NY","36037951400","=""36037951400""","21.98"
"36121970400, NY","36121970400","=""36121970400""","19.73"
"36121971100, NY","36121971100","=""36121971100""","22.60"
"36065024102, NY","36065024102","=""36065024102""","17.94"
"36065024101, NY","36065024101","=""36065024101""","10.50"
"36025970300, NY","36025970300","=""36025970300""","17.05"
