"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people under 18 between 2013-2017."
"37137950202, NC","37137950202","=""37137950202""","11.36"
"37027030900, NC","37027030900","=""37027030900""","16.25"
"37061090600, NC","37061090600","=""37061090600""","21.55"
"37047930400, NC","37047930400","=""37047930400""","22.31"
"37143920202, NC","37143920202","=""37143920202""","17.78"
"37125950200, NC","37125950200","=""37125950200""","24.78"
"37087980100, NC","37087980100","=""37087980100""","N/A"
"37121950100, NC","37121950100","=""37121950100""","14.56"
"37137950101, NC","37137950101","=""37137950101""","22.38"
"37123960200, NC","37123960200","=""37123960200""","20.55"
"37077970102, NC","37077970102","=""37077970102""","18.44"
"37047930200, NC","37047930200","=""37047930200""","21.98"
"37005950100, NC","37005950100","=""37005950100""","16.61"
"37153970100, NC","37153970100","=""37153970100""","24.85"
"37009970700, NC","37009970700","=""37009970700""","15.18"
"37171930801, NC","37171930801","=""37171930801""","21.53"
"37169070300, NC","37169070300","=""37169070300""","14.61"
"37033930200, NC","37033930200","=""37033930200""","19.83"
"37031980100, NC","37031980100","=""37031980100""","N/A"
"37141920300, NC","37141920300","=""37141920300""","24.34"
"37059080100, NC","37059080100","=""37059080100""","24.45"
"37019020202, NC","37019020202","=""37019020202""","18.98"
"37113970700, NC","37113970700","=""37113970700""","20.58"
"37069060100, NC","37069060100","=""37069060100""","17.91"
"37155961602, NC","37155961602","=""37155961602""","18.77"
"37125950100, NC","37125950100","=""37125950100""","19.89"
"37107011200, NC","37107011200","=""37107011200""","28.53"
"37133990100, NC","37133990100","=""37133990100""","N/A"
"37017950300, NC","37017950300","=""37017950300""","21.76"
"37065020700, NC","37065020700","=""37065020700""","22.61"
"37107011400, NC","37107011400","=""37107011400""","20.62"
"37179020100, NC","37179020100","=""37179020100""","24.97"
"37133000201, NC","37133000201","=""37133000201""","33.31"
"37009970300, NC","37009970300","=""37009970300""","21.99"
"37151030900, NC","37151030900","=""37151030900""","27.18"
"37173960301, NC","37173960301","=""37173960301""","22.40"
"37057062001, NC","37057062001","=""37057062001""","18.73"
"37133000401, NC","37133000401","=""37133000401""","23.12"
"37053990100, NC","37053990100","=""37053990100""","N/A"
"37141920502, NC","37141920502","=""37141920502""","17.78"
"37125950301, NC","37125950301","=""37125950301""","18.93"
"37037020500, NC","37037020500","=""37037020500""","22.67"
"37147000900, NC","37147000900","=""37147000900""","24.52"
"37139960503, NC","37139960503","=""37139960503""","20.94"
"37017950500, NC","37017950500","=""37017950500""","21.82"
"37053110200, NC","37053110200","=""37053110200""","22.65"
"37045950101, NC","37045950101","=""37045950101""","19.36"
"37191000602, NC","37191000602","=""37191000602""","31.45"
"37079950101, NC","37079950101","=""37079950101""","24.97"
"37011930200, NC","37011930200","=""37011930200""","16.75"
"37073970200, NC","37073970200","=""37073970200""","21.64"
"37141920203, NC","37141920203","=""37141920203""","28.24"
"37159051902, NC","37159051902","=""37159051902""","21.93"
"37083930600, NC","37083930600","=""37083930600""","23.36"
"37061090501, NC","37061090501","=""37061090501""","27.38"
"37041930102, NC","37041930102","=""37041930102""","14.63"
"37047930600, NC","37047930600","=""37047930600""","20.58"
"37111970901, NC","37111970901","=""37111970901""","16.24"
"37155961900, NC","37155961900","=""37155961900""","22.14"
"37091950300, NC","37091950300","=""37091950300""","19.58"
"37111970700, NC","37111970700","=""37111970700""","20.15"
"37179020901, NC","37179020901","=""37179020901""","21.13"
"37151030802, NC","37151030802","=""37151030802""","25.48"
"37163970500, NC","37163970500","=""37163970500""","28.35"
"37169070200, NC","37169070200","=""37169070200""","17.34"
"37037020800, NC","37037020800","=""37037020800""","18.09"
"37061090802, NC","37061090802","=""37061090802""","25.84"
"37191001000, NC","37191001000","=""37191001000""","21.30"
"37133000302, NC","37133000302","=""37133000302""","27.77"
"37175960600, NC","37175960600","=""37175960600""","9.92"
"37155961500, NC","37155961500","=""37155961500""","21.50"
"37199960101, NC","37199960101","=""37199960101""","22.33"
"37181960200, NC","37181960200","=""37181960200""","14.39"
"37193961001, NC","37193961001","=""37193961001""","20.09"
"37077970701, NC","37077970701","=""37077970701""","20.56"
"37069060200, NC","37069060200","=""37069060200""","18.65"
"37087921301, NC","37087921301","=""37087921301""","18.41"
"37063002100, NC","37063002100","=""37063002100""","12.29"
"37039930602, NC","37039930602","=""37039930602""","14.23"
"37163970302, NC","37163970302","=""37163970302""","26.40"
"37061090200, NC","37061090200","=""37061090200""","27.20"
"37135010801, NC","37135010801","=""37135010801""","18.63"
"37199960300, NC","37199960300","=""37199960300""","16.85"
"37053110101, NC","37053110101","=""37053110101""","8.04"
"37123960402, NC","37123960402","=""37123960402""","23.30"
"37197050400, NC","37197050400","=""37197050400""","24.31"
"37013930600, NC","37013930600","=""37013930600""","17.34"
"37023021302, NC","37023021302","=""37023021302""","14.04"
"37053110302, NC","37053110302","=""37053110302""","23.21"
"37113970600, NC","37113970600","=""37113970600""","19.21"
"37145920500, NC","37145920500","=""37145920500""","19.81"
"37147001200, NC","37147001200","=""37147001200""","23.51"
"37019020505, NC","37019020505","=""37019020505""","25.16"
"37079950200, NC","37079950200","=""37079950200""","24.66"
"37013931000, NC","37013931000","=""37013931000""","23.34"
"37127011500, NC","37127011500","=""37127011500""","27.85"
"37007920200, NC","37007920200","=""37007920200""","18.66"
"37083930700, NC","37083930700","=""37083930700""","13.41"
"37049961303, NC","37049961303","=""37049961303""","19.08"
"37099950900, NC","37099950900","=""37099950900""","17.94"
"37125950402, NC","37125950402","=""37125950402""","28.44"
"37065021300, NC","37065021300","=""37065021300""","22.13"
"37003040200, NC","37003040200","=""37003040200""","21.24"
"37167931000, NC","37167931000","=""37167931000""","18.56"
"37049960102, NC","37049960102","=""37049960102""","25.11"
"37087921302, NC","37087921302","=""37087921302""","17.16"
"37127010800, NC","37127010800","=""37127010800""","21.78"
"37155962002, NC","37155962002","=""37155962002""","23.72"
"37155961802, NC","37155961802","=""37155961802""","18.25"
"37115010500, NC","37115010500","=""37115010500""","16.15"
"37053110401, NC","37053110401","=""37053110401""","22.79"
"37161960300, NC","37161960300","=""37161960300""","9.78"
"37159051901, NC","37159051901","=""37159051901""","22.41"
"37125950302, NC","37125950302","=""37125950302""","21.89"
"37173960302, NC","37173960302","=""37173960302""","19.71"
"37051003700, NC","37051003700","=""37051003700""","26.41"
"37039930601, NC","37039930601","=""37039930601""","16.89"
"37047930300, NC","37047930300","=""37047930300""","25.13"
"37135011203, NC","37135011203","=""37135011203""","21.46"
"37033930500, NC","37033930500","=""37033930500""","20.66"
"37147001900, NC","37147001900","=""37147001900""","17.08"
"37079950102, NC","37079950102","=""37079950102""","15.64"
"37175960100, NC","37175960100","=""37175960100""","21.91"
"37097060901, NC","37097060901","=""37097060901""","16.77"
"37157041300, NC","37157041300","=""37157041300""","19.40"
"37125950501, NC","37125950501","=""37125950501""","18.57"
"37165010500, NC","37165010500","=""37165010500""","21.47"
"37157041002, NC","37157041002","=""37157041002""","20.56"
"37153971100, NC","37153971100","=""37153971100""","25.62"
"37089932000, NC","37089932000","=""37089932000""","18.59"
"37101040100, NC","37101040100","=""37101040100""","24.02"
"37051002700, NC","37051002700","=""37051002700""","25.61"
"37155961400, NC","37155961400","=""37155961400""","24.95"
"37175960402, NC","37175960402","=""37175960402""","9.24"
"37003040100, NC","37003040100","=""37003040100""","20.67"
"37147001100, NC","37147001100","=""37147001100""","24.47"
"37095990100, NC","37095990100","=""37095990100""","N/A"
"37193960200, NC","37193960200","=""37193960200""","19.80"
"37093970202, NC","37093970202","=""37093970202""","23.99"
"37121950200, NC","37121950200","=""37121950200""","21.41"
"37021002900, NC","37021002900","=""37021002900""","20.13"
"37031970704, NC","37031970704","=""37031970704""","22.64"
"37193960100, NC","37193960100","=""37193960100""","21.80"
"37047930100, NC","37047930100","=""37047930100""","22.95"
"37163970301, NC","37163970301","=""37163970301""","27.28"
"37027031201, NC","37027031201","=""37027031201""","17.58"
"37111970902, NC","37111970902","=""37111970902""","22.29"
"37135010802, NC","37135010802","=""37135010802""","18.55"
"37125950401, NC","37125950401","=""37125950401""","18.80"
"37069060700, NC","37069060700","=""37069060700""","18.90"
"37049961001, NC","37049961001","=""37049961001""","26.43"
"37061090801, NC","37061090801","=""37061090801""","34.22"
"37197050101, NC","37197050101","=""37197050101""","21.87"
"37151031000, NC","37151031000","=""37151031000""","24.08"
"37133000301, NC","37133000301","=""37133000301""","23.47"
"37069060600, NC","37069060600","=""37069060600""","24.19"
"37163970400, NC","37163970400","=""37163970400""","20.96"
"37123960100, NC","37123960100","=""37123960100""","26.83"
